spectrum,wavenumber,persistence,prominence,matched,essential,edge,n_topological,n_peaks,summary
0,1100.3134203945542,1.0,0.8789274422811338,True,True,False,,,
0,1217.8505140316756,0.44281639641110837,0.44281639641110837,True,False,False,,,
0,2853.6560155598777,0.39225472218142066,0.3741556596421506,True,False,False,,,
0,1531.6065573770493,0.3743229726595737,0.3743229726595737,True,False,False,,,
0,1705.4837454848569,0.3088328897829769,0.3088328897829769,True,False,False,,,
0,508.7424284523479,0.28799069573709923,0.10002390077432938,True,False,True,,,
0,1413.098082800778,0.18344528241642738,0.18344528241642738,True,False,False,,,
0,1598.6318421783828,0.1781399511027343,0.1781399511027343,True,False,False,,,
0,1309.1603223117531,0.15835436063769073,0.15835436063769073,True,False,False,,,
0,1369.3859405390385,0.14301492277180716,0.14301492277180716,True,False,False,,,
0,815.6988052236733,0.13315216924773346,0.13315216924773346,True,False,False,,,
0,2939.137538205057,0.111691035961205,0.111691035961205,True,False,False,,,
0,767.129758266185,0.11104465666820454,0.11104465666820454,True,False,False,,,
0,1066.3150875243123,0.06602360442473099,0.06602360442473099,True,False,False,,,
0,3310.205056960267,0.060471769833502644,0.060471769833502644,True,False,False,,,
0,712.7324256737983,0.0541768075363078,0.0541768075363078,True,False,False,,,
0,1017.7460405668241,0.041128796657208755,0.041128796657208755,True,False,False,,,
0,1446.12503473187,0.03746196313382702,0.03746196313382702,True,False,False,,,
0,2796.3445401500417,0.030267066450331642,0.030267066450331642,True,False,False,,,
0,607.8232842456238,0.027468773186287626,0.027468773186287626,True,False,False,,,
0,657.3637121422618,0.022266469734652822,0.022266469734652822,True,False,False,,,
0,1484.9802722978607,0.017969952339515205,0.017969952339515205,True,False,False,,,
0,1729.768268963601,0.017446813962282204,0.017446813962282204,True,False,False,,,
0,2079.465407057516,0.017160774677875162,0.017160774677875162,True,False,False,,,
0,960.4345651569881,0.015159568715155558,0.015159568715155558,True,False,False,,,
0,996.3756599055293,0.01145332586639608,0.01145332586639608,True,False,False,,,
