representation,Q2,MAE,margin_5,overheated_5,margin_1,overheated_1
Family mean,0.7056582576626484,10.752191200220826,22.631540784332067,0.07692307692307693,25.20375497463725,0.02564102564102564
Fingerprint image,0.7732663156022153,9.000899134933675,14.68609327912437,0.07692307692307693,22.787969776687437,0.05128205128205128
"Peaks, position + prominence",0.7225558858566488,8.948737143872163,13.542821025357538,0.07692307692307693,20.81510733885362,0.02564102564102564
Raw spectra (SNV),0.5808926841808897,11.351595470387974,23.42935132961548,0.05128205128205128,38.03754562468834,0.02564102564102564
SG 2nd derivative,0.5572482266821623,10.133606867233006,21.053103411851886,0.07692307692307693,55.164288066323174,0.02564102564102564
