representation,Q2_T5,ARI_all,ARI_main,AMI_main
"Vietoris-Rips, Betti H0",0.14172710807349564,0.1909534022226555,0.23980053834799112,0.36907780445532096
"Vietoris-Rips, Betti H1",-0.008752807167332843,0.1813106937256498,0.11291984339583763,0.19711242922759747
"Vietoris-Rips, Betti H0+H1",-0.042127644406865894,0.22038913119717857,0.23980053834799112,0.36907780445532096
"Lower-star, persistence image",0.06593163656826018,0.3426496393059076,0.2740315728220947,0.36856960054135735
"Lower-star, fingerprint image",0.7732663156022153,0.3316002310803004,0.37323279924599434,0.5151372212479415
"Peaks, position + prominence",0.7225558858566488,0.43769368981234424,0.5372159894409352,0.48652107416045637
Raw spectra (SNV),0.5808926841809781,0.5698609222548248,0.5584564528098226,0.6622182195684259
