target,representation,model,Q2,RMSE,MAPE
T5,SNV,ridge,0.5808926841808897,16.671376890911024,4.280579558435125
T5,SNV,PLS,0.299105511566242,21.559325587991683,5.811693927183741
T5,SG 1st derivative,ridge,0.6127936840791651,16.02433682877384,3.6124481617135094
T5,SG 1st derivative,PLS,0.6619238779975419,14.973250759519583,4.149779926142571
T5,SG 2nd derivative,ridge,0.5572482266821623,17.135193121187896,3.7636461848564307
T5,SG 2nd derivative,PLS,0.6729701391353022,14.726602130741178,3.6748352879137642
T5,ALS baseline + SNV,ridge,0.4151696433853187,19.693540589690297,4.383533189903017
T5,ALS baseline + SNV,PLS,0.6712861279605654,14.764470107662905,3.9130819879752456
T5,EMSC,ridge,0.5447543011815594,17.3752785015807,4.384871143268904
T5,EMSC,PLS,0.0054037408231135675,25.682202119353704,6.535801193438309
T5,Fourier magnitude,ridge,0.4955002344543735,18.291079325060764,4.512374021811227
T5,Fourier magnitude,PLS,0.5399628840272881,17.46647573591122,4.824429538103427
T5,TFI,ridge,0.7732663156022153,12.262156975167308,3.389770035390295
T5,TFI,PLS,0.7030920887641239,14.032005094019386,4.153672981009904
T5,peaks: + prominence,ridge,0.7225558858566488,13.564275648212973,3.2947578817659853
T5,peaks: + prominence,PLS,0.6844498540507054,14.465819490560571,3.730830772307208
