aspect,n_H1_mean,n_H1_min,n_H1_max,total_H1_persistence,Q2_T5,ARI_main
0.1,70.46153846153847,53.0,84.0,0.06835614115996765,-0.14740669213713775,0.3159489966555184
0.25,61.23076923076923,40.0,79.0,0.1022443645574057,0.3201162260286037,0.10991594244194329
0.5,50.794871794871796,39.0,61.0,0.13201570355345327,0.051176320388908736,0.05679233579157764
1.0,39.43589743589744,26.0,51.0,0.1632063168172653,-0.008752807167332843,0.11291984339583763
2.0,27.05128205128205,14.0,38.0,0.16322150476611194,-0.14229747086609512,0.412579843227748
5.0,13.974358974358974,3.0,25.0,0.1139696787756223,-0.09788329564105425,0.23232538330494037
10.0,5.743589743589744,0.0,11.0,0.05696773146971678,0.10052855080041645,-0.02137183796702599
