representation,gain,lo,hi,p_above_zero
Fingerprint image,1.9604914202633956,1.0487741937839432,2.8310133552772885,1.0
"Peaks, position + prominence",2.211580368328041,1.1899893504384982,3.2084558324286307,1.0
Raw spectra (SNV),-19.785995081579447,-29.113250106001498,-12.825235962224852,0.0
SG 2nd derivative,-42.36558144973617,-47.31312202911864,-37.42362522471525,0.0
