artefact,level,amplitude,unit,representation,self_retrieval,self_retrieval_sd
additive noise,0.75,0.037500000000000006,fraction of the absorbance range,TFI (fixed threshold),0.28717948717948716,0.07324541977992667
additive noise,0.75,0.037500000000000006,fraction of the absorbance range,TFI (adaptive threshold),0.43589743589743596,0.04865042554105197
additive noise,1.0,0.05,fraction of the absorbance range,baseline: raw spectra,0.9897435897435898,0.012561485860426564
additive noise,1.0,0.05,fraction of the absorbance range,PI (fixed threshold),0.02564102564102564,0.0
additive noise,1.0,0.05,fraction of the absorbance range,TFI (fixed threshold),0.12307692307692308,0.052297636036849074
additive noise,1.0,0.05,fraction of the absorbance range,TFI (adaptive threshold),0.3487179487179487,0.05279810328711283
intensity envelope,0.0,0.0,relative amplitude,baseline: raw spectra,1.0,0.0
intensity envelope,0.0,0.0,relative amplitude,PI (fixed threshold),1.0,0.0
intensity envelope,0.0,0.0,relative amplitude,TFI (fixed threshold),1.0,0.0
intensity envelope,0.0,0.0,relative amplitude,TFI (adaptive threshold),1.0,0.0
intensity envelope,0.25,0.125,relative amplitude,baseline: raw spectra,0.8820512820512821,0.02051282051282053
intensity envelope,0.25,0.125,relative amplitude,PI (fixed threshold),0.5025641025641026,0.06196433832612601
intensity envelope,0.25,0.125,relative amplitude,TFI (fixed threshold),0.4871794871794871,0.042905642386362824
intensity envelope,0.25,0.125,relative amplitude,TFI (adaptive threshold),0.4871794871794871,0.042905642386362824
intensity envelope,0.5,0.25,relative amplitude,baseline: raw spectra,0.635897435897436,0.05229763603684907
intensity envelope,0.5,0.25,relative amplitude,PI (fixed threshold),0.3076923076923077,0.06686361441233485
intensity envelope,0.5,0.25,relative amplitude,TFI (fixed threshold),0.3641025641025641,0.02512297172085311
intensity envelope,0.5,0.25,relative amplitude,TFI (adaptive threshold),0.3641025641025641,0.02512297172085311
intensity envelope,0.75,0.375,relative amplitude,baseline: raw spectra,0.5076923076923077,0.037684457581279654
intensity envelope,0.75,0.375,relative amplitude,PI (fixed threshold),0.16923076923076924,0.02614881801842454
intensity envelope,0.75,0.375,relative amplitude,TFI (fixed threshold),0.2923076923076923,0.04755701792561901
intensity envelope,0.75,0.375,relative amplitude,TFI (adaptive threshold),0.2923076923076923,0.04755701792561901
intensity envelope,1.0,0.5,relative amplitude,baseline: raw spectra,0.43076923076923074,0.019187986598840738
intensity envelope,1.0,0.5,relative amplitude,PI (fixed threshold),0.14358974358974358,0.02051282051282052
intensity envelope,1.0,0.5,relative amplitude,TFI (fixed threshold),0.2358974358974359,0.04971979340939825
intensity envelope,1.0,0.5,relative amplitude,TFI (adaptive threshold),0.2358974358974359,0.04971979340939825
