family,n,spread,sd,MAE_family_mean,MAE_fingerprint,gain
TPU,18,51.47226678425611,14.757625644833142,11.484904746977723,7.893454196073454,3.591450550904269
PUR,10,31.97361786959212,9.264483843539214,7.8200301615331345,7.365991196646445,0.4540389648866894
TR,7,28.47496280604065,8.72659353725095,7.286289981123226,8.941451896183379,-1.6551619150601526
EVA,2,26.63104886489026,18.830995242474213,26.63104886489026,24.750855169736212,1.8801936951540483
