subset,k,method,ARI,AMI,silhouette
all (n=39),6,PI (k-means),0.3426496393059076,0.4202195093055124,0.21808584312409168
all (n=39),6,TFI (k-means),0.3316002310803004,0.4597265185236149,0.33604215575687835
all (n=39),6,baseline: raw spectra (k-means),0.5698609222548248,0.6669080657854357,0.564179884863527
all (n=39),6,W-sliced (average linkage),0.30510758014027023,0.39618246709981825,0.2293409318727543
TPU/PUR/TR (n=35),3,PI (k-means),0.2740315728220947,0.36856960054135735,0.23807170722635992
TPU/PUR/TR (n=35),3,TFI (k-means),0.37323279924599434,0.5151372212479415,0.35568930564510653
TPU/PUR/TR (n=35),3,baseline: raw spectra (k-means),0.5584564528098226,0.6622182195684259,0.6604170152072071
TPU/PUR/TR (n=35),3,W-sliced (average linkage),0.2847294625714302,0.2817619432877374,0.28869185646235807
