representation,Q2,null_mean,null_q95,p_value
Fingerprint image,0.7732663156022158,-0.09922261367018338,-0.01995107186697511,0.000999000999000999
"Peaks, position + prominence",0.7225558858566554,-0.1048444968689034,-0.025425295779523693,0.000999000999000999
Raw spectra (SNV),0.580892684180629,-0.11665132451205289,-0.004869198109699,0.000999000999000999
SG 2nd derivative,0.557248226682163,-0.10233735725868162,-0.0050234879500095355,0.000999000999000999
